TransactionID,OrderID,PaymentID,TransactionDate,TransactionAmount
TRAN038,ORD323,PAY094,10/28/2015 14:36:01,679376.07
TRAN039,ORD387,PAY198,7/16/1952 02:03:38,1023782.84
TRAN040,ORD131,PAY020,5/20/2019 06:26:11,527982.44
TRAN041,ORD094,PAY204,4/22/1936 11:59:06,349551.54
TRAN042,ORD374,PAY170,6/16/1977 08:56:20,1993976.76
TRAN043,ORD103,PAY075,3/24/1908 13:12:19,588208.83
TRAN044,ORD136,PAY056,4/26/1992 18:57:50,1907124.84
TRAN045,ORD026,PAY171,9/6/1915 17:25:35,252549.66
TRAN046,ORD099,PAY012,10/8/1999 20:37:34,937784.47
TRAN047,ORD254,PAY033,2/12/2009 09:19:57,1617673.67
TRAN048,ORD086,PAY099,2/28/1924 21:39:15,501920.8
TRAN049,ORD197,PAY088,7/9/1918 07:49:28,1503106.66
TRAN050,ORD311,PAY028,9/23/1900 02:41:38,836782.29
TRAN051,ORD262,PAY192,9/1/1903 02:32:01,1399136.42
TRAN052,ORD221,PAY012,10/29/1997 14:56:07,1809692.87
TRAN053,ORD181,PAY229,5/25/1940 21:57:58,1288530.18
TRAN054,ORD335,PAY063,3/22/1900 09:52:56,1678256.79
TRAN055,ORD337,PAY096,9/17/1916 10:01:40,421678.14
TRAN056,ORD162,PAY189,9/28/2017 19:45:28,1629165.9
TRAN057,ORD379,PAY018,9/14/1969 06:12:36,1301762.65
TRAN058,ORD264,PAY070,3/22/1934 04:58:42,1372752.91
TRAN059,ORD107,PAY038,11/2/1923 03:33:34,892561.44
TRAN060,ORD016,PAY201,2/9/1962 22:13:29,1373635.58
TRAN061,ORD411,PAY034,3/28/1921 15:08:36,198388.31
TRAN062,ORD110,PAY234,7/28/1964 04:19:38,230499.0
TRAN063,ORD222,PAY121,11/28/2017 05:23:28,211156.81
TRAN064,ORD146,PAY080,12/27/2011 14:06:49,41012.5
TRAN065,ORD399,PAY194,11/14/1902 12:50:40,1644895.97
TRAN066,ORD383,PAY210,1/18/1932 06:35:26,945523.89
TRAN067,ORD130,PAY057,1/7/1909 00:07:44,1061065.82
TRAN068,ORD284,PAY133,6/27/1901 13:40:46,236566.41
TRAN069,ORD373,PAY199,9/29/1960 02:22:17,1428989.01
TRAN070,ORD076,PAY229,8/14/1961 23:15:01,1178082.74
TRAN071,ORD346,PAY040,4/3/2009 09:40:21,1798448.34
TRAN072,ORD433,PAY060,5/22/1917 13:23:19,740956.89
TRAN073,ORD097,PAY127,12/3/1949 07:32:06,732460.48
TRAN074,ORD094,PAY012,11/8/1989 20:52:18,993915.66
TRAN075,ORD217,PAY083,6/19/1954 23:18:31,1608349.09
TRAN076,ORD146,PAY049,4/26/1961 07:16:07,555648.27
TRAN077,ORD313,PAY097,11/1/1951 07:07:07,1492289.72
TRAN078,ORD087,PAY094,11/18/1906 06:29:07,122967.74
TRAN079,ORD055,PAY185,3/10/1901 01:35:38,113001.77
TRAN080,ORD143,PAY094,1/15/1958 04:18:38,1849036.82
TRAN081,ORD431,PAY125,3/30/1933 02:52:00,1966629.3
TRAN082,ORD032,PAY015,12/7/1961 08:54:26,535955.7
TRAN083,ORD317,PAY148,3/7/2008 00:10:28,853396.84
TRAN084,ORD043,PAY115,8/23/1971 10:25:53,1297013.56
TRAN085,ORD028,PAY148,1/27/1944 07:24:40,683535.21
TRAN086,ORD108,PAY124,10/10/1994 10:48:29,1068270.93
TRAN087,ORD099,PAY216,1/11/1925 02:27:07,748614.95
TRAN088,ORD067,PAY180,6/10/2019 12:20:07,1708545.08
TRAN089,ORD163,PAY081,9/22/1906 21:19:10,1301417.05
TRAN090,ORD239,PAY083,2/12/1923 20:42:51,545116.09
TRAN091,ORD437,PAY236,9/9/2000 16:17:09,1441708.88
TRAN092,ORD184,PAY008,10/7/1959 15:44:31,134382.22
TRAN093,ORD294,PAY106,12/19/1994 09:51:48,1547894.93
TRAN094,ORD041,PAY159,1/21/2019 17:54:44,1231320.21
TRAN095,ORD203,PAY051,4/30/1950 12:04:15,1807646.12
TRAN096,ORD172,PAY236,5/20/1913 16:03:14,1640509.14
TRAN097,ORD219,PAY031,1/18/2021 22:03:50,596095.21
TRAN098,ORD016,PAY225,3/13/1934 10:40:17,1809451.07
TRAN099,ORD134,PAY039,11/22/1981 00:26:23,1641309.54
TRAN100,ORD207,PAY077,11/8/1942 19:54:28,1159243.79
TRAN101,ORD182,PAY038,9/29/1998 00:14:35,1448204.83
TRAN102,ORD356,PAY231,1/21/1992 06:41:51,730200.4
TRAN103,ORD396,PAY113,4/1/1948 20:26:17,336424.72
TRAN104,ORD231,PAY083,6/16/1949 10:55:43,1687025.41
TRAN105,ORD086,PAY155,7/27/1988 09:38:24,1616603.67
TRAN106,ORD440.,PAY034,10/3/1957 17:51:33,1055460.2
TRAN107,ORD305,PAY166,4/17/1942 04:06:40,1964586.24
TRAN108,ORD286,PAY132,5/14/1904 16:01:28,1801294.5
TRAN109,ORD076,PAY177,7/18/1902 04:17:41,298304.84
TRAN110,ORD251,PAY148,12/3/1981 21:22:02,1866155.94
TRAN111,ORD170,PAY096,11/25/1916 04:04:14,220275.53
TRAN112,ORD294,PAY070,12/3/1973 06:16:12,1530205.06
TRAN113,ORD315,PAY061,8/26/1980 09:55:47,800098.89
TRAN114,ORD076,PAY055,11/12/2004 04:59:18,8848.06
TRAN115,ORD302,PAY008,5/3/1970 20:11:26,1261572.79
TRAN116,ORD322,PAY090,2/6/1953 21:09:12,545294.03
TRAN117,ORD182,PAY057,6/26/1927 17:06:23,929927.23
TRAN118,ORD063,PAY158,1/17/1903 07:47:58,1691096.96
TRAN119,ORD164,PAY158,6/19/1964 10:45:54,543903.74
TRAN120,ORD092,PAY237,9/5/1901 12:45:23,1239277.19
TRAN121,ORD077,PAY210,6/15/1951 05:24:15,121644.52
TRAN122,ORD331,PAY002,7/8/1950 18:34:45,1849231.5
TRAN123,ORD247,PAY120,11/10/2023 23:56:33,954348.96
TRAN124,ORD208,PAY046,8/9/2003 21:32:09,444801.99
TRAN125,ORD121,PAY139,9/23/1930 20:17:10,756756.45
TRAN126,ORD189,PAY108,3/23/1973 14:14:43,1276385.72
TRAN127,ORD354,PAY088,8/29/1961 11:41:13,1793117.63
TRAN128,ORD160,PAY139,2/28/1900 06:29:24,97824.9
TRAN129,ORD249,PAY017,3/6/1924 03:45:02,905578.39
TRAN130,ORD166,PAY119,7/8/1957 13:23:23,1841769.55
TRAN131,ORD191,PAY206,1/23/1991 12:57:41,509132.95
TRAN132,ORD086,PAY160,1/8/1909 22:47:57,1735474.46
TRAN133,ORD363,PAY157,11/6/1922 18:57:50,797031.56
TRAN134,ORD271,PAY217,8/5/1955 01:25:51,1996975.24
TRAN135,ORD025,PAY098,3/10/1946 10:12:54,369950.59
TRAN136,ORD347,PAY004,7/13/2011 00:14:15,1205618.82
TRAN137,ORD097,PAY068,10/12/2008 03:12:53,1556204.17
TRAN138,ORD130,PAY157,5/10/1946 19:57:58,31490.96
TRAN139,ORD278,PAY165,3/3/1972 00:50:17,573696.08
TRAN140,ORD234,PAY238,1/12/1977 17:36:30,492245.34
TRAN141,ORD254,PAY128,10/2/1995 04:44:37,1303638.89
TRAN142,ORD166,PAY201,5/21/1977 21:25:53,1512342.24
TRAN143,ORD124,PAY142,2/25/1999 00:06:14,258568.92
TRAN144,ORD370,PAY019,6/22/1949 00:20:08,89883.25
TRAN145,ORD326,PAY117,10/18/1952 06:39:46,1887299.76
TRAN146,ORD439,PAY204,2/14/1907 22:55:04,1853035.15
TRAN147,ORD153,PAY196,5/14/1924 01:45:44,1144168.51
TRAN148,ORD086,PAY166,2/18/2002 19:55:17,636633.78
TRAN149,ORD071,PAY179,1/11/1912 15:08:54,229870.23
TRAN150,ORD125,PAY029,11/14/1998 21:40:54,355412.29
TRAN151,ORD011,PAY162,4/17/1982 04:37:09,892923.05
TRAN152,ORD118,PAY187,5/11/1957 17:04:55,215837.59
TRAN153,ORD399,PAY224,7/27/1958 06:14:08,980314.38
TRAN154,ORD383,PAY071,7/12/1953 21:12:52,154944.1
TRAN155,ORD323,PAY168,10/13/1949 17:09:54,1194819.8
TRAN156,ORD197,PAY113,3/3/2025 04:03:26,637148.37
TRAN157,ORD131,PAY234,10/14/1906 20:06:29,295181.77
TRAN158,ORD373,PAY203,5/20/1911 19:58:20,735825.49
TRAN159,ORD343,PAY046,10/30/1927 11:10:00,1895577.79
TRAN160,ORD160,PAY225,9/12/1983 12:39:20,1481484.77
TRAN161,ORD393,PAY128,3/17/1978 06:51:43,1662227.01
TRAN162,ORD428,PAY146,6/3/1983 01:14:54,908175.8
TRAN163,ORD090,PAY143,3/15/1930 18:49:36,1119026.72
TRAN164,ORD059,PAY130,8/9/1947 01:58:17,548439.91
TRAN165,ORD307,PAY025,7/24/1935 04:04:58,1782507.05
TRAN166,ORD071,PAY201,5/22/1906 22:51:36,813998.31
TRAN167,ORD126,PAY196,10/7/1937 03:16:04,1874180.03
TRAN168,ORD426,PAY141,7/2/2004 08:48:33,1952092.14
TRAN169,ORD154,PAY012,11/7/2015 05:40:02,293417.3
TRAN170,ORD371,PAY050,4/24/2022 01:54:28,1749316.35
TRAN171,ORD016,PAY211,11/23/1915 12:10:33,1338132.85
TRAN172,ORD190,PAY202,1/17/2005 20:57:40,1439221.09
TRAN173,ORD117,PAY124,8/1/1949 09:10:23,1090758.89
TRAN174,ORD047,PAY184,4/6/1944 03:14:17,89108.43
TRAN175,ORD390,PAY239,7/21/1946 15:57:39,226019.62
TRAN176,ORD124,PAY194,12/13/1957 07:00:21,743434.36
TRAN177,ORD216,PAY178,5/2/1961 20:50:58,1219560.45
TRAN178,ORD089,PAY223,12/24/2023 14:55:21,504817.75
TRAN179,ORD350,PAY102,7/22/1917 22:22:09,1480301.88
TRAN180,ORD114,PAY021,9/8/1952 08:04:51,1979264.69
TRAN181,ORD049,PAY053,4/22/1916 04:14:53,751848.59
TRAN182,ORD229,PAY020,12/13/1971 17:49:29,190561.38
TRAN183,ORD376,PAY176,2/24/1907 15:07:39,509812.78
TRAN184,ORD292,PAY198,3/30/1998 21:23:19,549941.01
TRAN185,ORD122,PAY008,7/24/1930 18:59:01,1911038.89
TRAN186,ORD114,PAY148,3/13/2010 21:56:43,1307404.32
TRAN187,ORD411,PAY142,1/19/2011 02:56:45,1494938.69
TRAN188,ORD022,PAY015,10/31/1976 22:55:19,322118.54
TRAN189,ORD278,PAY026,2/5/1910 15:35:09,443076.07
TRAN190,ORD114,PAY066,4/21/1977 10:13:45,374695.61
TRAN191,ORD055,PAY124,12/22/1965 20:14:41,1403161.24
TRAN192,ORD295,PAY235,10/4/2009 00:25:15,1834154.18
TRAN193,ORD367,PAY146,1/25/1959 00:27:14,1686971.69
TRAN194,ORD330,PAY036,2/5/2012 19:13:19,1133938.53
TRAN195,ORD248,PAY098,9/25/1935 03:04:59,1114625.22
TRAN196,ORD289,PAY083,5/18/1960 10:00:41,1701761.2
TRAN197,ORD223,PAY155,3/20/2015 20:15:25,291047.82
TRAN198,ORD084,PAY154,9/2/1962 15:24:34,1505048.93
TRAN199,ORD387,PAY132,12/19/1906 19:06:13,329469.68
TRAN200,ORD237,PAY125,8/23/1943 05:12:31,1596660.59
TRAN201,ORD268,PAY094,12/25/1983 10:44:50,1899754.92
TRAN202,ORD285,PAY023,7/15/2009 01:13:11,1328806.45
TRAN203,ORD252,PAY189,7/3/1955 12:07:07,1346514.6
TRAN204,ORD438,PAY236,8/12/1958 03:23:19,228150.18
TRAN205,ORD256,PAY084,4/13/1954 23:50:12,1296829.83
TRAN206,ORD012,PAY064,6/10/1994 11:28:42,1518036.63
TRAN207,ORD074,PAY239,12/12/1988 00:04:22,224040.38
TRAN208,ORD311,PAY004,9/5/1915 23:20:04,1246186.29
TRAN209,ORD318,PAY201,12/6/2001 22:24:32,1121538.73
TRAN210,ORD291,PAY080,11/23/2014 19:19:47,994756.06
TRAN211,ORD118,PAY050,1/8/1922 17:50:00,160207.15
TRAN212,ORD132,PAY138,8/12/1978 20:17:00,1512955.01
TRAN213,ORD018,PAY142,7/1/1902 01:45:43,1073427.76
TRAN214,ORD005,PAY071,6/3/1906 06:49:23,1533265.56
TRAN215,ORD255,PAY232,4/9/2020 14:07:14,1595911.27
TRAN216,ORD352,PAY086,8/22/1939 17:03:00,59157.36
TRAN217,ORD016,PAY211,4/27/1900 00:42:00,1791557.56
TRAN218,ORD146,PAY068,6/1/1947 15:20:33,1235490.11
TRAN219,ORD396,PAY199,5/23/2018 04:08:32,1075903.49
TRAN220,ORD143,PAY141,9/24/1941 17:35:56,95980.45
TRAN221,ORD274,PAY186,7/10/1942 15:33:12,1289507.15
TRAN222,ORD216,PAY228,4/24/1968 10:20:39,1875605.24
TRAN223,ORD323,PAY065,4/20/1932 15:37:40,1482284.31
TRAN224,ORD010,PAY193,8/13/1939 11:44:49,1325274.0
TRAN225,ORD340,PAY041,4/4/2016 10:20:37,1129182.77
TRAN226,ORD139,PAY007,3/9/1937 17:39:38,1247594.82
TRAN227,ORD120,PAY046,12/12/1920 17:48:50,1534718.64
TRAN228,ORD419,PAY150,7/23/1938 04:38:37,408913.6
TRAN229,ORD172,PAY143,7/7/1950 10:25:44,940360.92
TRAN230,ORD013,PAY071,12/31/1947 03:32:32,1879136.11
TRAN231,ORD411,PAY165,2/27/1936 21:39:32,1280127.06
TRAN232,ORD123,PAY013,11/8/1960 22:00:22,462719.26
TRAN233,ORD150,PAY075,7/6/1939 02:05:59,633815.26
TRAN234,ORD162,PAY240.,9/21/1975 23:01:48,820353.88
TRAN235,ORD016,PAY114,3/11/1916 11:14:01,1229973.25
TRAN236,ORD226,PAY121,7/14/1993 00:16:51,1111709.03
TRAN237,ORD320,PAY204,2/6/1948 09:45:13,91602.08
TRAN238,ORD172,PAY052,3/19/2025 01:45:46,123678.86
TRAN239,ORD409,PAY143,10/15/2003 06:47:35,508529.06
TRAN240.,ORD361,PAY198,8/27/1980 07:40:02,875497.81
